catalog_name "Orig_я"
num_of_cars "40"
language "0"

mark_1 "dhsdh"
bodycar_1 "ghfh"
country_1 "dh"
day_1 "28"
month_1 "2"
year_1 "2019"
price_1 "235235"

mark_2 "sdgsdg"
bodycar_2 "sfh"
country_2 "hgfgh"
day_2 "6"
month_2 "11"
year_2 "2005"
price_2 "125125"

mark_3 "hdfhd"
bodycar_3 "dfhdfhs"
country_3 "hdf"
day_3 "1"
month_3 "1"
year_3 "2000"
price_3 "0"

mark_4 "sdhsdhsd"
bodycar_4 "dhsdh"
country_4 "dhsdhsd"
day_4 "1"
month_4 "1"
year_4 "2000"
price_4 "315235"

mark_5 ""
bodycar_5 ""
country_5 ""
day_5 "1"
month_5 "1"
year_5 "2000"
price_5 "0"

mark_6 ""
bodycar_6 ""
country_6 ""
day_6 "1"
month_6 "1"
year_6 "2000"
price_6 "0"

mark_7 ""
bodycar_7 ""
country_7 ""
day_7 "1"
month_7 "1"
year_7 "2000"
price_7 "0"

mark_8 ""
bodycar_8 ""
country_8 ""
day_8 "1"
month_8 "1"
year_8 "2000"
price_8 "0"

mark_9 ""
bodycar_9 ""
country_9 ""
day_9 "1"
month_9 "1"
year_9 "2000"
price_9 "0"

mark_10 ""
bodycar_10 ""
country_10 ""
day_10 "1"
month_10 "1"
year_10 "2000"
price_10 "0"

mark_11 ""
bodycar_11 ""
country_11 ""
day_11 "1"
month_11 "1"
year_11 "2000"
price_11 "0"

mark_12 ""
bodycar_12 ""
country_12 ""
day_12 "1"
month_12 "1"
year_12 "2000"
price_12 "0"

mark_13 ""
bodycar_13 ""
country_13 ""
day_13 "1"
month_13 "1"
year_13 "2000"
price_13 "0"

mark_14 ""
bodycar_14 ""
country_14 ""
day_14 "1"
month_14 "1"
year_14 "2000"
price_14 "0"

mark_15 ""
bodycar_15 ""
country_15 ""
day_15 "1"
month_15 "1"
year_15 "2000"
price_15 "0"

mark_16 ""
bodycar_16 ""
country_16 ""
day_16 "1"
month_16 "1"
year_16 "2000"
price_16 "0"

mark_17 ""
bodycar_17 ""
country_17 ""
day_17 "1"
month_17 "1"
year_17 "2000"
price_17 "0"

mark_18 ""
bodycar_18 ""
country_18 ""
day_18 "1"
month_18 "1"
year_18 "2000"
price_18 "0"

mark_19 ""
bodycar_19 ""
country_19 ""
day_19 "1"
month_19 "1"
year_19 "2000"
price_19 "0"

mark_20 ""
bodycar_20 ""
country_20 ""
day_20 "1"
month_20 "1"
year_20 "2016"
price_20 "0"

mark_21 ""
bodycar_21 ""
country_21 ""
day_21 "1"
month_21 "1"
year_21 "2000"
price_21 "0"

mark_22 ""
bodycar_22 ""
country_22 ""
day_22 "1"
month_22 "1"
year_22 "2000"
price_22 "0"

mark_23 ""
bodycar_23 ""
country_23 ""
day_23 "1"
month_23 "1"
year_23 "2013"
price_23 "0"

mark_24 ""
bodycar_24 ""
country_24 ""
day_24 "1"
month_24 "1"
year_24 "2000"
price_24 "0"

mark_25 ""
bodycar_25 ""
country_25 ""
day_25 "1"
month_25 "1"
year_25 "2000"
price_25 "0"

mark_26 ""
bodycar_26 ""
country_26 ""
day_26 "1"
month_26 "1"
year_26 "2000"
price_26 "0"

mark_27 ""
bodycar_27 ""
country_27 ""
day_27 "1"
month_27 "1"
year_27 "2000"
price_27 "0"

mark_28 ""
bodycar_28 ""
country_28 ""
day_28 "1"
month_28 "1"
year_28 "2000"
price_28 "0"

mark_29 ""
bodycar_29 ""
country_29 ""
day_29 "1"
month_29 "1"
year_29 "2000"
price_29 "0"

mark_30 ""
bodycar_30 ""
country_30 ""
day_30 "1"
month_30 "1"
year_30 "2000"
price_30 "0"

mark_31 ""
bodycar_31 ""
country_31 ""
day_31 "1"
month_31 "1"
year_31 "2000"
price_31 "0"

mark_32 ""
bodycar_32 ""
country_32 ""
day_32 "1"
month_32 "1"
year_32 "2000"
price_32 "0"

mark_33 ""
bodycar_33 ""
country_33 ""
day_33 "1"
month_33 "1"
year_33 "2000"
price_33 "0"

mark_34 ""
bodycar_34 ""
country_34 ""
day_34 "1"
month_34 "1"
year_34 "2000"
price_34 "0"

mark_35 ""
bodycar_35 ""
country_35 ""
day_35 "1"
month_35 "1"
year_35 "2000"
price_35 "0"

mark_36 ""
bodycar_36 ""
country_36 ""
day_36 "1"
month_36 "1"
year_36 "2000"
price_36 "0"

mark_37 ""
bodycar_37 ""
country_37 ""
day_37 "1"
month_37 "1"
year_37 "2000"
price_37 "0"

mark_38 ""
bodycar_38 ""
country_38 ""
day_38 "1"
month_38 "1"
year_38 "2000"
price_38 "0"

mark_39 ""
bodycar_39 ""
country_39 ""
day_39 "1"
month_39 "1"
year_39 "2000"
price_39 "0"

mark_40 ""
bodycar_40 ""
country_40 ""
day_40 "1"
month_40 "1"
year_40 "2000"
price_40 "0"
